job_name,company_name,region,hands_on_background,academic_requirement,how_many,extra_requirement,functional_categories,work_place,job_information,company_url,num_of_companies,job_url,申请,
Python开发工程师,广州优亿信息科技有限公司,广州,无工作经验,本科,招若干人,,   其他,  上班地址：广州市天河五山路248号金山大厦南塔1805,"['<p style=""text-indent: 2em;"">岗位职责：', '<p style=""text-indent: 2em;"">进行自动化测试工具的开发', '<p style=""text-indent: 2em;"">任职要求：', '<p style=""text-indent: 2em;"">（1）     熟练掌握C、C++、Java或者Python等至少一门开发语言，有Python开发项目经验者优先；', '<p style=""text-indent: 2em;"">（2）     了解虚拟化、SDN、OpenStack等相关云计算概念，熟悉开源OpenStack、tempest、OPNFV等项目的优先；', '<p style=""text-indent: 2em;"">（3）     有良好的编程习惯，动手能力强；', '<p style=""text-indent: 2em;"">（4）     具备良好的逻辑思维能力和表达能力；', '<p style=""text-indent: 2em;"">（5）     具备良好的团队合作精神，较强的执行能力，能在压力下高效工作。']",http://www.useease.com,50-150人,https://jobs.51job.com/guangzhou/103433510.html?s=01&t=0,1,
数据统计专员,广州肌言堂生物科技有限公司,广州,1年经验,大专,招2人,,   统计员,  上班地址：广州市海珠区客村（赤岗）艺苑南路,"['岗位职责：1、负责公司自营平台数据整理分析；2、根据公司运营平台的数据整理、核对、分析，编写数据报告，并向领导汇报；3、本岗位偏重于财务数据整理分析；4、领导临时安排的其他工作。                                   ', ' 任职资格：1、 年龄22~28岁，性别不限；2、 有会计相关专业背景，可接受应届毕业生；3、 熟悉统计分析、数据分析的相关理论和方法，具备一定数据建模经验，熟悉关联分析，回归分析，聚类分析等理论和算法；4、 &amp;ldquo;精通MS Excel（必备条件），掌握MS SQL 或了解Python、Matlab、SAS、SPSS之一者优先；&amp;rdquo;5、 具备良好的职业素养和沟通能力，有一定工作承压能力。试用期1~3个月，工作能力突出者可提前转正；综合能力突出者，']",http://zhi20.com/、http://www.skintalk.cn,50-150人,https://jobs.51job.com/guangzhou/104412698.html?s=01&t=0,1,
生物信息分析工程师,广州基迪奥生物科技有限公司,广州,无工作经验,本科,招2人,,   生物工程生物制药,  上班地址：生物岛,[],http://www.genedenovo.com,150-500人,https://jobs.51job.com/guangzhou/96015606.html?s=01&t=0,0擅长英文生物文献,
助理研究员/助理数据分析师,新华信（SINOTRUST）,广州,无工作经验,本科,招4人,,   专业顾问,  上班地址：五羊新城泰恒大厦,"['【助理研究员】', '1. 负责资料收集与整理、现场调查等基础工作', '2. 调研数据初步整理', '3. 协助项目研究问卷/提纲设计', '4. 协助项目运作管理', '5. 协助数据质量管理', '6. 参与项目报告制作与文案撰写', '【助理数据分析师】', '1. 调研原始数据初步整理', '2. 车主名单整理', '3. 协助制作各项目数据报告', '4. 协助编写EXCEL、PPT批处理程序', '5. 其他相关数据处理工作', '岗位要求：', '1. 本科及以上学历，欢迎应届毕业生应聘', '2. 统计学、市场营销相关专业', '3. 熟练使用EXCEL、PPT、OUTLOOK等办公软件', '4. 良好的逻辑思维能力', '5. 适应高强度工作', '6. 【助理数据分析师】掌握至少一门编程语言，熟悉VAB、SPSS、R、Python及数据库等优先']",http://www.wpp-sinotrust.com/,500-1000人,https://jobs.51job.com/guangzhou/98264001.html?s=01&t=0,0外企欧美，在启信宝没找到,
Python爬虫工程师,赛业（广州）生物科技有限公司,广州,无工作经验,大专,招1人,,   ,  上班地址：广州科学城掬泉路3号国际企业孵化器D区3层,"['任职要求：', '1、计算机及相关专业，大专及以上学历，1年左右的工作经验；', '2、有1年左右的爬虫项目开发经验，精通常用的爬虫语言和框架，熟悉java,掌握python；', '3、至少熟悉一种数据库，如Mysql、Oracle、MSSQL等；', '4、 优秀的分析、解决问题能力,对处理未知的、挑战性问题充满激情；', '5、 具有良好的沟通能力和团队合作精神.', '', '岗位职责：', '1、设计爬虫策略与算法,提升抓取效果；', '2、互联网网站，网页，链接的特征挖掘；', '3、负责系统日常运营资源调度优化及运营指标分析调优，并能实时监控爬虫的进度和警报反馈； ', '4、负责特殊网页采集任务的分析及采集方案设计；', '5、能根据市场部要求编写一些软件。', '', '福利待遇：', '1、薪酬福利=竞争力的薪资+节假日礼品+带薪年假+年终奖金+周末双休；', '2、公司不定期举办各种文化活动，丰富员工的业余生活；', '3、依法缴纳五险一金：养老保险、医疗保险、工伤保险、失业保险、生育保险，及住房公积金；', '4、工作日午餐餐补；', '5、指定线路上班班车。']",http://www.cyagen.com,150-500人,https://jobs.51job.com/guangzhou/101630655.html?s=01&t=0,1,
Unity3d 开发工程师,广东承石网络科技有限公司,广州-白云区,1年经验,本科,招5人,,   高级软件工程师,  上班地址：鹤龙街鹤龙路8号海峡两岸（汇龙）信息产业科技园B区第一层B118号,"['1、负责游戏各功能的方案沟通、开发和维护；', '2、负责编写项目开发工具并跟进后续使用及改进；', '3、负责定位和解决运行期性能热点；', '4、负责Android和iOS平台的SDK接入；', '任职要求', '1、计算机软件相关行业本科及以上学历；', '2、有unity开发经验，参与一或多款项目的完整开发者优先；', '3、熟悉Python或者Lua脚本语言优先；', '4、熟悉Android和iOS平台调试和发布；', '5、扎实的3D图形学基础，理解unity底层渲染机制及调优方案；', '6、热爱游戏，有较强的沟通能力、逻辑清晰、表达流畅、态度谦和；', '7、有Shader编写能力尤佳；', '8、有个人作品尤佳；']",http://gdcskj.chci.cn/,少于50人,https://jobs.51job.com/guangzhou-byq/107473446.html?s=01&t=0,0游戏，unity开发经验,
程序员,广东好森活医药连锁有限公司,广州-番禺区,1年经验,大专,招1人,,   软件工程师,  上班地址：番禺市桥禺山西路329号海伦堡创意园4座1栋22楼,"['岗位职责：', '1、负责公司运维平台的开发，实现自动化管理；', '2、配合项目总监完成项目开发工作；', '3、参与设计、开发、优化公司各应用系统的平台体系架构。', '', '岗位要求：', '1、男女不限，27岁以上；', '2、工作积极、积极主动；', '3、熟悉Python，使用过Django、flask等应用框架，有过python web项目；', '4、有MySQL、redis、PostgreSQL基础知识；', '5、思维敏捷，富有创新精神，具备良好的分析判断能力；', '6、1年以上工作经验，并有良好的沟通能力和学习能力。', '7、计算机相关专业优先；大专以上学历；']",http://www.365goodlife.com/,150-500人,https://jobs.51job.com/guangzhou-pyq/108607161.html?s=01&t=0,1,
Web前端开发工程师,广州市斯洛柯高分子聚合物有限公司,广州-黄埔区,无工作经验,本科,招若干人,,   前端开发,  上班地址：广州市科学城科学大道182创新大厦C1-副楼405,"['Web前端设计师，招聘要求', '职责：', '1、负责公司各项目的前端开发工作；', '3、微信应用/小程序、网页应用等；', '', '要求：', '1、精通JavaScript，熟悉es5、es6、es7语法，对Promise有深刻理解和体会；', '2、精通html、css，熟悉html5、css3技术；', '3、熟悉HTTP、WebSocket、TCP等网络／服务协议；', '4、熟悉vue，或其他主流框架（nuxt、angular、react等）；', '5、熟悉使用element-ui、mint-ui、bootstrap等ui', '6、熟悉各前端工具（git、webpack、gulp）；', '7、熟悉微信微信应用/小程序开发；', '8、熟悉Python/nodejs后台开发、熟悉mysql/mongodb数据库操作、熟悉LINUX优先；', '9、良好的学习能力、沟通能力、团队协作能力，对新兴技术保持极高的关注度和兴趣。']",http://www.silok.com.cn,50-150人,https://jobs.51job.com/guangzhou-hpq/87118433.html?s=01&t=0,1,
Go/Python语言开发工程师,广州市长寿村饮品（连锁）有限公司,广州-天河区,1年经验,本科,招1人,"计算机科学与技术', '计算机信息管理']",   数据库工程师管理员,  上班地址：珠江新城马场路附近,[],http://Http//:www.tian-yuan.cn,500-1000人,https://jobs.51job.com/guangzhou-thq/88728239.html?s=01&t=0,1,
前端开发工程师,广州市千云信息科技有限公司,广州-天河区,1年经验,大专,招若干人,,   软件工程师,  上班地址：天河北路30号时代广场西座,"['一、岗位职责', '1.根据需求优化及开发微信小程序；', '2.协助后端工程师维护网站与服务器；', '3.与团队合作，为项目提出最优的解决方案。', ' ', '二、任职要求', '1.有WEB前端开发项目经验；', '2.熟练使用各种 WEB 前端技术，包括 HTML、eslint、CSS 和 JavaScript 等；', '3.熟悉 webpack 打包流程；', '4.react, vue, angular 至少熟悉一项；', '5.熟悉 es6；', '6.对后端语言（php、python等）有一定了解（加分项）；', '7.投递简历时请附带作品，如有  Github 或技术博客等，请提供（加分项）。', '', '', '三、薪酬详情  1.试用期起薪为5500元/月，转正5500元/月+社保公积金。', '                                                            ', '2.每年至少有一次调薪机会。    四、福利详情  1.社保公积金齐全。  2.按国家规定享受法定假期和带薪年假。  3.全勤奖励、生日福利、节日礼品、下午茶、免费零食。  4.每年体检。  5.团队聚餐、轰趴和季度旅游。    五、工作时间  1.单双休，法定节假日放假。    最后，盼望能和你成为同一个团队的小伙伴！ ']",http://gw.meiriv.com/,50-150人,https://jobs.51job.com/guangzhou-thq/108576669.html?s=01&t=0,1,
广州分部--运营数据分析员,上海网达软件股份有限公司,广州-天河区,1年经验,大专,招1人,,   大数据开发分析,  上班地址：珠江西路5号广州国际金融中心11楼,"['', '', '<b></b><i></i>']",http://www.wondertek.com.cn;公司微信号：wangdaruanjian,500-1000人,https://jobs.51job.com/guangzhou-thq/101269408.html?s=01&t=0,1,
实施工程师（YBG）,联奕科技有限公司,广州-天河区,1年经验,大专,招1人,,   项目执行协调人员,  上班地址：广州市科韵路信息港A座5楼全层,"['负责软件产品的需求分析、实施及培训推广工作。', '任职要求：', '1. 大专及以上学历，计算机、软件工程、信息管理、计算机应用等相关专业，1年以上实施工作经验（欢迎优秀应届生踊跃投递）；', '2. 精通ORACLE PL/SQL编程，掌握Oracle数据库在Oracle数据库的安装、备份与恢复；  3. 熟悉ODI或KETTLE等ETL工具；  4. 熟悉shell脚本，熟悉python、java等开发语言者优先；  5. 积极主动，责任心强；  6. 工作积极主动，具备较强的沟通交流和表达能力；  7. 具有良好的团队协作能力和执行能力；  8. 具有快速学习能力及抗压能力']",http://www.ly-sky.com,500-1000人,https://jobs.51job.com/guangzhou-thq/108188537.html?s=01&t=0,1,12.9看过1次
